id;province_bccs_id;province_bccs_name;province_id;bccs_staff_code;user_updated;date_updated
1;15362;Camp;94287;Berkshire Organized;Coordinator ivory;2020-12-28T10:13:19
2;75148;Accounts;54070;Investor;Union;2020-12-28T06:11:39
3;50941;fuchsia;47881;Assimilated solution;Home Curve;2020-12-28T12:40:51
4;73628;olive;34328;leading edge;invoice;2020-12-28T14:19:46
5;18691;Saint Pierre and Miquelon systems;15355;overriding microchip;integrated;2020-12-28T07:08:01
6;51497;1080p;5390;fault-tolerant;Coordinator Cambridgeshire silver;2020-12-28T03:54:11
7;38041;Borders Outdoors synergies;20086;Shoes;Personal Loan Account Pizza Security;2020-12-28T05:47:56
8;59956;ivory portals;58379;SCSI Shoes Nebraska;Course functionalities Intelligent;2020-12-28T23:29:23
9;73525;Rand Namibia Dollar deposit Point;23188;Kansas;feed Ethiopian Birr Borders;2020-12-29T00:57:33
10;99560;Future hard drive alliance;97876;compressing cyan ADP;leading-edge;2020-12-29T00:43:07
