id;mt_id;sender;receiver;mt_time;msg_type;msg_len;status;message;cp_id;cp_code;num_mt;mt_type;sum_status;request_id;webservice;alias_id;alias_group_type;telco_id;prog_id;alias_type;sub_type;price;input_request_id;reg_dlr;input_module;dlr_status;cp_mt_id;refund;smsc_log;smsc_log_quannd_8;quannd_8_check;promotion_alias_id;undo_promotion
1;12905;violet Object-based Internal;Chair system;2020-12-24T18:40:41;37565;72665;48082;parsing;87020;Kazakhstan transmitting Michigan;22604;30878;85803;18462;Communications Lock;9028;16918;86133;98348;23737;57304;65000;4883;10684;Intelligent Metal Keyboard;55817;card Electronics;49170;11897;95233;40366;65970;45257
2;31307;supply-chains Regional;Chicken Associate asymmetric;2020-12-24T13:16:55;25945;16308;79369;vertical;77185;Functionality;87310;86987;31395;72741;Personal Loan Account Cotton Generic;22134;1617;80405;84196;80410;57141;11009;4010;84603;niches;42046;Advanced azure;68856;33946;57236;50995;94442;22836
3;41552;card Outdoors Shoes;reinvent Integrated Metal;2020-12-24T17:35:56;4714;50162;56219;Intelligent Rubber Hat;7109;indexing overriding navigate;24007;70851;65234;83722;Granite;60093;99977;46688;12150;26191;32166;4123;8485;96521;invoice Tasty;71940;distributed;62494;39500;1001;161;812;68610
4;5260;protocol;white Personal Loan Account;2020-12-24T10:13:51;73210;45440;63839;Personal Loan Account viral eyeballs;90146;Stream;24745;19207;30551;56696;RSS Afghanistan Human;77960;6419;98637;68265;42181;14397;23272;93642;45776;Pass;20524;applications schemas Mountains;84133;38006;73664;83616;69204;81087
5;17525;Global Factors Integration;Cheese;2020-12-24T15:02:10;14415;3480;26560;JBOD application Plastic;85163;Uganda HTTP;18806;46743;6672;44758;connect;97530;20973;5354;67869;70440;20533;26203;94156;48614;payment;78400;Incredible Steel Towels Towels Michigan;2648;7134;65027;80291;77586;32672
6;55888;hard drive Bolivar Fuerte Nevada;Movies Belize;2020-12-24T21:34:43;78369;82609;32964;Checking Account Tasty;46977;Fantastic Reactive Soft;35140;90149;12277;48861;Shirt;93993;89140;66440;88985;30517;19591;93979;57017;69215;Human indigo users;48684;Bedfordshire Phased;52060;91311;77808;37804;2878;17013
7;99170;sky blue uniform;Directives GB;2020-12-25T03:31:28;16485;43978;12195;Mississippi program withdrawal;73249;Lights Borders;24448;19876;94500;96777;Directives Paradigm Berkshire;99242;42415;57613;19544;56248;50491;65833;31033;62319;Soft synergistic override;47482;cultivate;73727;89251;89497;30867;71134;36627
8;86991;Orchestrator USB HDD;Investment Account;2020-12-24T11:29:21;56245;49720;82287;bandwidth Home Loan Account Buckinghamshire;4645;Oregon Estate;9920;76248;87647;99831;Plastic French Southern Territories copying;32420;20675;2645;25395;87924;21971;91799;1625;76648;Niger;67665;lime copying adapter;48812;93225;96040;22038;95450;63172
9;80901;capacitor National;innovative;2020-12-24T16:17:20;10219;65767;58630;Human convergence payment;60029;Computers;43798;36786;80002;73857;content Rustic Cotton Chips;83106;98226;31402;75700;57581;61552;35975;96205;71567;killer Summit;82834;time-frame virtual withdrawal;55982;49292;69481;97522;56565;92918
10;26736;Awesome composite;Tactics moderator;2020-12-24T20:32:08;20707;93838;66;system;83679;Tokelau;74584;29616;43969;74316;sensor Circles;81835;88419;91952;34167;9930;68409;521;72562;70434;reboot Handcrafted virtual;43920;back up programming Kids;88359;34492;61376;63024;59694;45184
