id;cp_id;cp_code;cp_group_name;note;create_date;update_date;deleted;create_user
1;23720;Kenyan Shilling payment;Practical;Supervisor Director;2020-12-25T12:18:59;2020-12-25T15:43:57;80515;indigo interactive
2;40910;Incredible Principal Money Market Account;Unbranded;mobile;2020-12-25T05:25:53;2020-12-25T04:05:12;84065;redundant
3;24111;Awesome;index syndicate;Secured Tactics Ohio;2020-12-25T20:11:50;2020-12-25T13:54:36;91005;Cambridgeshire
4;56918;driver;empowering redundant North Carolina;Kroon Switchable SCSI;2020-12-25T11:44:01;2020-12-25T08:45:56;94642;Home Loan Account Bermuda
5;8305;compressing;Path unleash Planner;solid state Supervisor;2020-12-26T02:06:13;2020-12-26T00:22:23;93983;Singapore Dollar
6;75019;Metal;synthesizing backing up parsing;hacking bluetooth;2020-12-25T10:34:16;2020-12-25T17:21:51;33796;Computers purple
7;43689;Vista;Assurance Croatian Kuna;Gloves;2020-12-25T18:42:02;2020-12-25T22:00:07;48657;Strategist connect
8;52690;Investment Account New York;Cambridgeshire;Spurs Grocery;2020-12-25T06:59:12;2020-12-25T19:52:20;6417;Garden
9;62411;parse;Cambridgeshire;driver;2020-12-25T21:59:11;2020-12-25T19:19:57;48283;neural-net withdrawal
10;481;Bermudian Dollar (customarily known as Bermuda Dollar);Incredible Fresh Salad Burgs;Pike Sierra Leone;2020-12-25T04:54:36;2020-12-25T12:28:38;58668;Fantastic Concrete Ball digital Minnesota
