id;trans_id;cp_id;trans_time;chanel;amount;trans_note;alias;process;balance_type;balance_before;balance_after
1;36848;57495;2020-12-25T15:52:39;88025;35776;Strategist Health monetize;implement alliance paradigms;98088;30742;91665;15958
2;8728;74961;2020-12-25T15:40:54;72615;1758;Personal Loan Account B2C;JBOD Planner Centralized;45452;24374;52195;21248
3;72801;112;2020-12-26T13:35:56;67905;75921;South Carolina;protocol;88257;92795;52044;45489
4;52305;97647;2020-12-26T01:49:49;72612;37293;Baby channels interactive;Generic Metal Bike;62938;87997;40975;86705
5;62044;32719;2020-12-25T20:30:04;47451;28990;Towels Applications Handcrafted Frozen Pizza;Sleek Pizza Configuration;20639;5036;68389;68144
6;66651;1423;2020-12-26T07:01:54;32955;53946;mobile;Assistant Brand;53330;26820;79481;25179
7;11801;30656;2020-12-26T03:45:15;18148;54237;Response Home;Regional Gloves generating;8159;99878;40602;41948
8;95548;42523;2020-12-26T05:41:37;72371;9406;Director;Texas calculate;84679;25513;3003;99856
9;25065;20858;2020-12-26T03:50:32;68551;739;SAS Computers structure;Finland;49373;84812;59101;9832
10;16572;87007;2020-12-25T18:57:05;80599;27227;Handmade invoice Maine;bandwidth Rubber indigo;27250;21770;64200;18484
