id;cat_code;cat_name;cat_desc;recycle
1;transmitter Tuvalu Quality;Gorgeous Metal Tuna Solutions Maine;deposit;22020
2;Manat;maroon Avon;Intelligent Steel Mouse initiatives Zambia;30657
3;Norfolk Island Grocery invoice;maximize bandwidth;Cote d'Ivoire;68759
4;IB;Guinea Franc Paraguay online;Solutions communities Denar;30333
5;open system deposit Fantastic;connecting;Representative infrastructures;50991
6;Division deposit Buckinghamshire;Frozen copying;transform Chips;18143
7;Product;brand;Villages;62144
8;Bridge Configuration multi-tasking;Sleek Steel Chicken;Director;47336
9;collaborative solid state;JSON;infrastructures Metal Lock;62572
10;program;Table;engage;44697
