id;telco_id;telco_name;telco_code;telco_prefix;is_viettel_group;prefix_detail;send_type;group_name;can_free_sms;is_vietnamese
1;12550;granular Unbranded;service-desk local Accounts;Money Market Account responsive;24191;mesh;44489;iterate;14420;85131
2;83335;Multi-layered optical Associate;Spur interface Guatemala;Incredible firewall;69945;Table;73153;program Synchronised;93608;89914
3;85613;Practical e-commerce Wisconsin;AI;navigating withdrawal;95593;visionary efficient Plastic;24065;Sweden;99973;16083
4;31372;Buckinghamshire;Movies Virtual Benin;robust;68733;Borders open-source;11097;Crescent Executive Buckinghamshire;61945;27779
5;55439;Metical Intelligent Cotton Table Open-architected;Executive;attitude-oriented interfaces Som;99473;visualize Customer Falkland Islands Pound;8455;CFA Franc BEAC transform Nebraska;55411;3743
6;55244;Kentucky;Nebraska HDD SDD;ADP Arkansas CSS;67283;New York;69949;Borders concept;11363;86395
7;54853;invoice;Wooden Borders Jordanian Dinar;paradigm matrix Borders;61597;Cuba sky blue;11214;plum Tactics Bedfordshire;4884;19868
8;12063;Generic Concrete Computer innovative;Zambian Kwacha Credit Card Account paradigms;JBOD Plain;32992;Sports Iraqi Dinar Visionary;74330;Refined Associate Grass-roots;31665;37167
9;80074;Up-sized;Jewelery;New Zealand Dollar;63365;Advanced;18132;invoice SCSI ubiquitous;40366;73501
10;66747;interfaces Identity Checking Account;calculate architect Configurable;azure;98666;panel AI;92202;demand-driven Kenya Industrial;31150;23044
